fig_num,minifig_name,number_of_minifig_parts,inventory_id,minifig_quantitiy,set_num,set_name,year,number_of_parts,theme_id,theme_name,version
fig-009215,"Green Torso, Dark Tan Legs, Tan Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009216,"Tan Torso Sweater, Sand Blue Legs, Light Bluish Grey Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009217,"Bright Pink, Medium Azure, White Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009218,"Kid - White Torso, Medium Blue Legs, Black Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009219,"White Torso, Dark Blue Legs, Black Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009220,"Yellow Torso, Blue Legs, Reddish Brown Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009221,"Yellow Torso, Blue Legs, Dark Brown Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009222,"Dark Azure Torso, White Legs, Medium Nougat Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009223,"White Torso, Medium Azure Legs, Tan Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009224,"Light Bluish Grey Torso, Dark Orange Legs, Dark Brown Hair",4,24617,1,10261-1,Roller Coaster,2018,4124,22,Creator,1
fig-009214,"Bright Light Blue Torso, Dark Purple Legs, Dark Orange Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009215,"Green Torso, Dark Tan Legs, Tan Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009216,"Tan Torso Sweater, Sand Blue Legs, Light Bluish Grey Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009217,"Bright Pink, Medium Azure, White Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009218,"Kid - White Torso, Medium Blue Legs, Black Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009219,"White Torso, Dark Blue Legs, Black Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009220,"Yellow Torso, Blue Legs, Reddish Brown Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009221,"Yellow Torso, Blue Legs, Dark Brown Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009222,"Dark Azure Torso, White Legs, Medium Nougat Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009223,"White Torso, Medium Azure Legs, Tan Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009224,"Light Bluish Grey Torso, Dark Orange Legs, Dark Brown Hair",4,25242,1,10261-1,Roller Coaster,2018,4124,22,Creator,2
fig-009225,"Astronaut - White Torso and Legs, Gold Visor, Female",5,9519,1,10213-1,Shuttle Adventure,2010,1204,22,Creator,1
fig-009226,"Astronaut - White Torso and Legs, Gold Visor, Male",5,9519,1,10213-1,Shuttle Adventure,2010,1204,22,Creator,1
fig-009227,"Crew Member - Blue Torso, Blue Legs, Blue Cap",4,9519,1,10213-1,Shuttle Adventure,2010,1204,22,Creator,1
fig-009227,"Crew Member - Blue Torso, Blue Legs, Blue Cap",4,7748,1,10231-1,Shuttle Expedition,2011,1230,22,Creator,1
fig-009228,"Astronaut - White Torso and Legs, Gold Visor, Female, Smile",5,7748,1,10231-1,Shuttle Expedition,2011,1230,22,Creator,1
fig-009229,"Astronaut - White Torso and Legs, Gold Visor, Male, Smile",5,7748,1,10231-1,Shuttle Expedition,2011,1230,22,Creator,1
fig-009230,"White Torso, Medium Azure Legs, Dark Brown Hair",4,28433,1,10268-1,Vestas Wind Turbine,2018,834,22,Creator,1
fig-009231,Vestas Employee - Glasses,4,28433,1,10268-1,Vestas Wind Turbine,2018,834,22,Creator,1
fig-009232,Vestas Employee - Moustache,4,28433,1,10268-1,Vestas Wind Turbine,2018,834,22,Creator,1
fig-009233,"Kid - Red Torso, Blue Legs, Medium Nougat Hair",4,10901,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,1
fig-009234,"Kid - Green Torso, Dark Tan Legs, Dark Brown Hair",4,10901,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,1
fig-009235,"Black Torso, Dark Bluish Gray Legs, Reddish Brown Hair",4,10901,1,10254-1,Winter Holiday Train,2016,735,206,Seasonal,1
